"age","sex","carb","fat","protein","sodium","energyintake"
0,"Male",235.742630961522,33.3316133680979,36.3129736523285,2330.38863202468,1388.20693876828
1,"Male",236.588587592077,33.4497071255203,36.4417551150436,2338.6325645311,1393.16873495817
2,"Male",238.263302609314,33.6838172954073,36.6967661588607,2354.95920295069,1402.99463073136
3,"Male",240.732950878849,34.0298525976945,37.0729857910839,2379.05146710602,1417.49242005898
4,"Male",243.948198412617,34.4818319634572,37.5630859278497,2410.44693008138,1436.38162503298
5,"Male",247.845818903632,35.0320641971119,38.1576657840583,2448.55299244102,1459.30251652477
6,"Male",252.350739322227,35.6713756352351,38.8455487155692,2492.66605328973,1485.8275328683
7,"Male",257.378427173081,36.3893763436184,39.6141290221473,2541.99383709055,1515.47461187348
8,"Male",262.837518222847,37.1747539117932,40.4497542367872,2595.6799068222,1547.72187504468
9,"Male",268.632574601384,38.0155829552121,41.3381271363691,2652.82931461604,1582.02305354792
10,"Male",274.666859639415,38.8996380711115,42.2647111800708,2712.53431465994,1617.82302591794
11,"Male",280.845017852419,39.8146982367578,43.2151233484537,2773.89909130101,1654.57284893431
12,"Male",287.075556041729,40.7488314773792,44.1754994089975,2836.06253632596,1691.74370509932
13,"Male",293.273034176461,41.6906500199948,45.132818420274,2898.21823870018,1728.83926056689
14,"Male",299.359891854175,42.6295280088612,46.0751757101168,2959.63102004659,1765.40602233692
15,"Male",305.267856740439,43.5557760774524,46.9919964854114,3019.64954971593,1801.04139760047
16,"Male",310.938904249115,44.4607695145546,47.8741854807323,3077.71479230494,1835.39928455038
17,"Male",316.325761472029,45.3370292749568,48.7142114340742,3133.36426450894,1868.19315509902
18,"Male",321.391971549792,46.1782575086964,49.5061284831811,3186.23229346934,1899.19671771016
19,"Male",326.111555873285,46.9793314626631,50.245539601819,3236.04666211108,1928.24236506438
20,"Male",330.468329431051,47.7362614080434,50.929509757146,3282.62218675709,1955.21770942518
21,"Male",334.454938221328,48.4461195590659,51.5564384162724,3325.85188942994,1980.06058258199
22,"Male",338.071696200303,49.1069477035691,52.1259022575712,3365.69649577057,2002.75292316362
23,"Male",341.325302394632,49.7176514392028,52.6384794007506,3402.1730071491,2023.31399013435
24,"Male",344.227516630407,50.2778885223747,53.0955661687509,3435.34306386489,2041.793327898
25,"Male",346.793865288874,50.7879579566716,53.4991964017615,3465.30174053325,2058.26386837258
26,"Male",349.042437414308,51.2486951779521,53.8518717781687,3492.16730319879,2072.81549337148
27,"Male",350.992817474882,51.6613771675402,54.1564096184404,3516.07232114815,2085.54930288115
28,"Male",352.665185394406,52.0276396916606,54.4158124406921,3537.15637698584,2096.57274856534
29,"Male",354.079598475016,52.3494072750664,54.633161294368,3555.56046878706,2105.99570455313
30,"Male",355.255454804295,52.6288351084435,54.8115328056975,3571.42305980939,2113.92746641596
31,"Male",356.211124804512,52.8682609770527,54.9539380851135,3584.87761437044,2120.47460035198
32,"Male",356.963727598677,53.0701645626457,55.0632802945005,3596.05137062331,2125.73951263652
33,"Male",357.529022380924,53.2371311523461,55.1423268258993,3605.06504661275,2129.81957719841
34,"Male",357.921382181018,53.3718168851478,55.193691726917,3612.0331564691,2132.80664759807
35,"Male",358.153818153598,53.4769131370725,55.2198241950686,3617.06462704736,2134.78678762832
36,"Male",358.238026342478,53.5551084136171,55.2229995822075,3620.2634471232,2135.8400794213
37,"Male",358.184435062816,53.6090470810343,55.2053102942363,3621.72914461192,2136.04040515752
38,"Male",358.002238738081,53.6412853094598,55.1686551101364,3621.55696395004,2135.45514317801
39,"Male",357.699412279274,53.6542456009007,55.1147266379691,3619.83769694183,2134.14476607708
40,"Male",357.282707973794,53.6501721217298,55.0449977376895,3616.65719743303,2132.1623719415
41,"Male",356.757643536592,53.631089659069,54.9607086516476,3612.09567552731,2129.55321568458
42,"Male",356.12849481552,53.5987693062161,54.8628572005576,3606.22691472143,2126.35433182026
43,"Male",355.398309208114,53.5547039189865,54.7521946666996,3599.11758137536,2122.59435077013
